"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7517","Complete purchase flow","","2026-02-21","passed","2026-02-21","","checkout.spec.ts","",""
"","7902","E2E: Complete checkout flow","","2026-02-21","passed","2026-02-21","","checkout-e2e.spec.ts","",""
"","7650","Should show error for invalid credentials","","2026-02-21","passed","2026-02-21","Negative Login Tests","login-negative.spec.ts","",""
"","4105","Products can be sorted by price (low to high)","","2026-02-21","passed","2026-02-21","","sorting.spec.ts","",""
"","2738","Should show error for locked out user","","2026-02-21","passed","2026-02-21","Negative Login Tests","login-negative.spec.ts","",""
"","7328","Smoke: User can login and view products","","2026-02-21","passed","2026-02-21","","smoke.spec.ts","",""
"","7779","User can login successfully","","2026-02-21","passed","2026-02-21","","login.spec.ts","",""
"","5435","Debug URL","","2026-02-21","passed","2026-02-21","","debug.spec.ts","",""
"","7926","User can add multiple items to cart","","2026-02-21","passed","2026-02-21","","add-multiple-items.spec.ts","",""
"","7473","User can add a product to the cart","","2026-02-21","passed","2026-02-21","","add-to-cart.spec.ts","",""
"","2674","Invalid login shows error message","","2026-02-21","passed","2026-02-21","","login.spec.ts","",""
